Symbol,Alias,SrcDbId,SrcName
AARS2,LKENP,57505,NCBI Gene
AARS2,COXPD8,57505,NCBI Gene
AARS2,AARSL,57505,NCBI Gene
AARS2,"alanyl-tRNA synthetase 2, mitochondrial",57505,NCBI Gene
AARS2,"alanyl-tRNA synthetase 2, mitochondrial (putative)",21022,HGNC
AARS2,alanyl-tRNA synthetase like,21022,HGNC
AARS2,"alanine tRNA ligase 2, mitochondrial",21022,HGNC
AARS2,bA444E17.1,21022,HGNC
AARS2,KIAA1270,21022,HGNC
AARS2,"alanyl-tRNA synthetase 2, mitochondrial",21022,HGNC
AASS,LORSDH,ENSG00000008311,Ensembl
AASS,LKRSDH,ENSG00000008311,Ensembl
AASS,aminoadipate-semialdehyde synthase,ENSG00000008311,Ensembl
AASS,"saccharopine dehydrogenase (NADP(+), L-lysine-forming)",10157,NCBI Gene
AASS,"saccharopine dehydrogenase (NAD(+), L-glutamate-forming)",10157,NCBI Gene
AASS,lysine-ketoglutarate reductase /saccharopine dehydrogenase,10157,NCBI Gene
AASS,lysine-2-oxoglutarate reductase,10157,NCBI Gene
AASS,aminoadipic semialdehyde synthase,10157,NCBI Gene
AASS,alpha-aminoadipate semialdehyde synthase,10157,NCBI Gene
AASS,"alpha-aminoadipic semialdehyde synthase, mitochondrial",10157,NCBI Gene
AASS,LORSDH,10157,NCBI Gene
AASS,LKRSDH,10157,NCBI Gene
AASS,LKR/SDH,10157,NCBI Gene
AASS,aminoadipate-semialdehyde synthase,10157,NCBI Gene
AASS,"saccharopine dehydrogenase (NADP(+), L-lysine-forming)",17366,HGNC
AASS,"saccharopine dehydrogenase (NAD(+), L-glutamate-forming)",17366,HGNC
AASS,lysine ketoglutarate reductase/saccharopine dehydrogenase,17366,HGNC
AASS,alpha-aminoadipic semialdehyde synthase,17366,HGNC
AASS,LKR/SDH,17366,HGNC
AASS,LKRSDH,17366,HGNC
AASS,LORSDH,17366,HGNC
AASS,aminoadipate-semialdehyde synthase,17366,HGNC
ABAT,GABAT,ENSG00000183044,Ensembl
ABAT,GABA-T,ENSG00000183044,Ensembl
ABAT,4-aminobutyrate aminotransferase,ENSG00000183044,Ensembl
ABAT,gamma-aminobutyrate aminotransferase,18,NCBI Gene
ABAT,gamma-amino-N-butyrate transaminase,18,NCBI Gene
ABAT,GABA transferase,18,NCBI Gene
ABAT,GABA transaminase,18,NCBI Gene
ABAT,GABA aminotransferase,18,NCBI Gene
ABAT,4-aminobutyrate transaminase,18,NCBI Gene
ABAT,(S)-3-amino-2-methylpropionate transaminase,18,NCBI Gene
ABAT,"4-aminobutyrate aminotransferase, mitochondrial",18,NCBI Gene
ABAT,NPD009,18,NCBI Gene
ABAT,GABAT,18,NCBI Gene
ABAT,GABA-AT,18,NCBI Gene
ABAT,4-aminobutyrate aminotransferase,18,NCBI Gene
ABAT,GABA transaminase,23,HGNC
ABAT,gamma-aminobutyrate aminotransferase,23,HGNC
ABAT,4-aminobutyrate transaminase,23,HGNC
ABAT,GABA-T,23,HGNC
ABAT,GABAT,23,HGNC
ABAT,4-aminobutyrate aminotransferase,23,HGNC
ABCA1,TGD,ENSG00000165029,Ensembl
ABCA1,HDLDT1,ENSG00000165029,Ensembl
ABCA1,ABC1,ENSG00000165029,Ensembl
ABCA1,ATP binding cassette subfamily A member 1,ENSG00000165029,Ensembl
ABCA1,membrane-bound,19,NCBI Gene
ABCA1,cholesterol efflux regulatory protein,19,NCBI Gene
ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1",19,NCBI Gene
ABCA1,ATP-binding cassette transporter A1,19,NCBI Gene
ABCA1,ATP-binding cassette sub-family A member 1,19,NCBI Gene
ABCA1,phospholipid-transporting ATPase ABCA1,19,NCBI Gene
ABCA1,TGD,19,NCBI Gene
ABCA1,HPALP1,19,NCBI Gene
ABCA1,HDLDT1,19,NCBI Gene
ABCA1,HDLCQTL13,19,NCBI Gene
ABCA1,CERP,19,NCBI Gene
ABCA1,ABC1,19,NCBI Gene
ABCA1,ABC-1,19,NCBI Gene
ABCA1,ATP binding cassette subfamily A member 1,19,NCBI Gene
ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1",29,HGNC
ABCA1,Tangier disease,29,HGNC
ABCA1,TGD,29,HGNC
ABCA1,ATP binding cassette subfamily A member 1,29,HGNC
ABCA2,ATP binding cassette subfamily A member 2,32,HGNC
ABCA2,"ATP-binding cassette, sub-family A (ABC1), member 2",32,HGNC
ABCA2,ATP binding cassette subfamily A member 2,20,NCBI Gene
ABCA2,ABC2,20,NCBI Gene
ABCA2,IDPOGSA,20,NCBI Gene
ABCA2,ATP-binding cassette sub-family A member 2,20,NCBI Gene
ABCA2,ATP-binding cassette 2,20,NCBI Gene
ABCA2,ATP-binding cassette transporter 2,20,NCBI Gene
ABCA2,"ATP-binding cassette, sub-family A (ABC1), member 2",20,NCBI Gene
ABCA2,"ATP-binding cassette, sub-family A, member 2",20,NCBI Gene
ABCA2,ATP binding cassette subfamily A member 2,ENSG00000107331,Ensembl
ABCA2,ABC2,ENSG00000107331,Ensembl
ABCA3,LBM180,ENSG00000167972,Ensembl
ABCA3,EST111653,ENSG00000167972,Ensembl
ABCA3,ABC3,ENSG00000167972,Ensembl
ABCA3,ABC-C,ENSG00000167972,Ensembl
ABCA3,ATP binding cassette subfamily A member 3,ENSG00000167972,Ensembl
ABCA3,xenobiotic-transporting ATPase ABCA3,21,NCBI Gene
ABCA3,"ATP-binding cassette, sub-family A (ABC1), member 3",21,NCBI Gene
ABCA3,ATP-binding cassette transporter 3,21,NCBI Gene
ABCA3,ATP-binding cassette sub-family A member 3,21,NCBI Gene
ABCA3,ABC-C transporter,21,NCBI Gene
ABCA3,ABC transporter 3,21,NCBI Gene
ABCA3,phospholipid-transporting ATPase ABCA3,21,NCBI Gene
ABCA3,SMDP3,21,NCBI Gene
ABCA3,LBM180,21,NCBI Gene
ABCA3,EST111653,21,NCBI Gene
ABCA3,ABC3,21,NCBI Gene
ABCA3,ABC-C,21,NCBI Gene
ABCA3,ATP binding cassette subfamily A member 3,21,NCBI Gene
ABCA3,"ATP-binding cassette, sub-family A (ABC1), member 3",33,HGNC
ABCA3,LBM180,33,HGNC
ABCA3,EST111653,33,HGNC
ABCA3,ABC-C,33,HGNC
ABCA3,ATP binding cassette subfamily A member 3,33,HGNC
ABCA4,STGD1,ENSG00000198691,Ensembl
ABCA4,STGD,ENSG00000198691,Ensembl
ABCA4,RP19,ENSG00000198691,Ensembl
ABCA4,FFM,ENSG00000198691,Ensembl
ABCA4,CORD3,ENSG00000198691,Ensembl
ABCA4,ARMD2,ENSG00000198691,Ensembl
ABCA4,ABCR,ENSG00000198691,Ensembl
ABCA4,ATP binding cassette subfamily A member 4,ENSG00000198691,Ensembl
ABCA4,stargardt disease protein,24,NCBI Gene
ABCA4,retinal-specific ATP-binding cassette transporter,24,NCBI Gene
ABCA4,retina-specific ABC transporter,24,NCBI Gene
ABCA4,photoreceptor rim protein,24,NCBI Gene
ABCA4,RIM proteinv,24,NCBI Gene
ABCA4,RIM protein,24,NCBI Gene
ABCA4,RIM ABC transporter,24,NCBI Gene
ABCA4,"ATP-binding transporter, retina-specific",24,NCBI Gene
ABCA4,"ATP-binding cassette, sub-family A (ABC1), member 4",24,NCBI Gene
ABCA4,"ATP-binding cassette transporter, retinal-specific",24,NCBI Gene
ABCA4,ATP-binding cassette sub-family A member 4,24,NCBI Gene
ABCA4,ATP binding cassette transporter,24,NCBI Gene
ABCA4,retinal-specific phospholipid-transporting ATPase ABCA4,24,NCBI Gene
ABCA4,STGD1,24,NCBI Gene
ABCA4,STGD,24,NCBI Gene
ABCA4,RP19,24,NCBI Gene
ABCA4,RMP,24,NCBI Gene
ABCA4,FFM,24,NCBI Gene
ABCA4,CORD3,24,NCBI Gene
ABCA4,ARMD2,24,NCBI Gene
ABCA4,ABCR,24,NCBI Gene
ABCA4,ABC10,24,NCBI Gene
ABCA4,ATP binding cassette subfamily A member 4,24,NCBI Gene
ABCA4,"ATP-binding cassette, sub-family A (ABC1), member 4",34,HGNC
ABCA4,"ATP-binding cassette transporter, retinal-specific",34,HGNC
ABCA4,Stargardt disease,34,HGNC
ABCA4,CORD3,34,HGNC
ABCA4,ARMD2,34,HGNC
ABCA4,FFM,34,HGNC
ABCA4,ATP binding cassette subfamily A member 4,34,HGNC
ABCA5,EST90625,ENSG00000154265,Ensembl
ABCA5,ATP binding cassette subfamily A member 5,ENSG00000154265,Ensembl
ABCA5,"ATP-binding cassette, sub-family A (ABC1), member 5",23461,NCBI Gene
ABCA5,ATP-binding cassette A5,23461,NCBI Gene
ABCA5,cholesterol transporter ABCA5,23461,NCBI Gene
ABCA5,HTGH,23461,NCBI Gene
ABCA5,HTC3,23461,NCBI Gene
ABCA5,EST90625,23461,NCBI Gene
ABCA5,DEL17q24,23461,NCBI Gene
ABCA5,ABC13,23461,NCBI Gene
ABCA5,ATP binding cassette subfamily A member 5,23461,NCBI Gene
ABCA5,"ATP-binding cassette, sub-family A (ABC1), member 5",35,HGNC
ABCA5,EST90625,35,HGNC
ABCA5,ATP binding cassette subfamily A member 5,35,HGNC
ABCA7,ATP binding cassette subfamily A member 7,37,HGNC
ABCA7,ABCX,37,HGNC
ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",37,HGNC
ABCA7,ATP binding cassette subfamily A member 7,10347,NCBI Gene
ABCA7,ABCA-SSN,10347,NCBI Gene
ABCA7,ABCX,10347,NCBI Gene
ABCA7,AD9,10347,NCBI Gene
ABCA7,phospholipid-transporting ATPase ABCA7,10347,NCBI Gene
ABCA7,ATP-binding cassette sub-family A member 7,10347,NCBI Gene
ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",10347,NCBI Gene
ABCA7,autoantigen SS-N,10347,NCBI Gene
ABCA7,macrophage ABC transporter,10347,NCBI Gene
ABCA7,ATP binding cassette subfamily A member 7,ENSG00000064687,Ensembl
ABCA7,ABCX,ENSG00000064687,Ensembl
ABCB1,PGY1,ENSG00000085563,Ensembl
ABCB1,P-gp,ENSG00000085563,Ensembl
ABCB1,p-170,ENSG00000085563,Ensembl
ABCB1,MDR1,ENSG00000085563,Ensembl
ABCB1,GP170,ENSG00000085563,Ensembl
ABCB1,CLCS,ENSG00000085563,Ensembl
ABCB1,CD243,ENSG00000085563,Ensembl
ABCB1,ABC20,ENSG00000085563,Ensembl
ABCB1,ATP binding cassette subfamily B member 1,ENSG00000085563,Ensembl
ABCB1,phospholipid transporter ABCB1,5243,NCBI Gene
ABCB1,multidrug resistance protein 1,5243,NCBI Gene
ABCB1,doxorubicin resistance,5243,NCBI Gene
ABCB1,colchicin sensitivity,5243,NCBI Gene
ABCB1,P-glycoprotein 1,5243,NCBI Gene
ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",5243,NCBI Gene
ABCB1,ATP-dependent translocase ABCB1,5243,NCBI Gene
ABCB1,p-170,5243,NCBI Gene
ABCB1,PGY1,5243,NCBI Gene
ABCB1,P-gp,5243,NCBI Gene
ABCB1,MDR1,5243,NCBI Gene
ABCB1,GP170,5243,NCBI Gene
ABCB1,ENPAT,5243,NCBI Gene
ABCB1,CLCS,5243,NCBI Gene
ABCB1,CD243,5243,NCBI Gene
ABCB1,ABC20,5243,NCBI Gene
ABCB1,ATP binding cassette subfamily B member 1,5243,NCBI Gene
ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",40,HGNC
ABCB1,colchicin sensitivity,40,HGNC
ABCB1,P-glycoprotein,40,HGNC
ABCB1,multidrug resistance protein 1,40,HGNC
ABCB1,PGY1,40,HGNC
ABCB1,p-170,40,HGNC
ABCB1,ABC20,40,HGNC
ABCB1,GP170,40,HGNC
ABCB1,CD243,40,HGNC
ABCB1,P-gp,40,HGNC
ABCB1,ATP binding cassette subfamily B member 1,40,HGNC
ABCB11,SPGP,ENSG00000073734,Ensembl
ABCB11,PGY4,ENSG00000073734,Ensembl
ABCB11,PFIC2,ENSG00000073734,Ensembl
ABCB11,PFIC-2,ENSG00000073734,Ensembl
ABCB11,BSEP,ENSG00000073734,Ensembl
ABCB11,ABC16,ENSG00000073734,Ensembl
ABCB11,ATP binding cassette subfamily B member 11,ENSG00000073734,Ensembl
ABCB11,sister p-glycoprotein,8647,NCBI Gene
ABCB11,progressive familial intrahepatic cholestasis 2,8647,NCBI Gene
ABCB11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",8647,NCBI Gene
ABCB11,ATP-binding cassette sub-family B member 11,8647,NCBI Gene
ABCB11,"ABC member 16, MDR/TAP subfamily",8647,NCBI Gene
ABCB11,bile salt export pump,8647,NCBI Gene
ABCB11,SPGP,8647,NCBI Gene
ABCB11,PGY4,8647,NCBI Gene
ABCB11,PFIC2,8647,NCBI Gene
ABCB11,PFIC-2,8647,NCBI Gene
ABCB11,BSEP,8647,NCBI Gene
ABCB11,BRIC2,8647,NCBI Gene
ABCB11,ABC16,8647,NCBI Gene
ABCB11,ATP binding cassette subfamily B member 11,8647,NCBI Gene
ABCB11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",42,HGNC
ABCB11,bile salt export pump,42,HGNC
ABCB11,progressive familial intrahepatic cholestasis 2,42,HGNC
ABCB11,"ABC member 16, MDR/TAP subfamily",42,HGNC
ABCB11,PGY4,42,HGNC
ABCB11,PFIC-2,42,HGNC
ABCB11,SPGP,42,HGNC
ABCB11,ABC16,42,HGNC
ABCB11,ATP binding cassette subfamily B member 11,42,HGNC
ABCB4,PGY3,ENSG00000005471,Ensembl
ABCB4,PFIC-3,ENSG00000005471,Ensembl
ABCB4,MDR3,ENSG00000005471,Ensembl
ABCB4,MDR2,ENSG00000005471,Ensembl
ABCB4,GBD1,ENSG00000005471,Ensembl
ABCB4,ATP binding cassette subfamily B member 4,ENSG00000005471,Ensembl
ABCB4,multiple drug resistance 3,5244,NCBI Gene
ABCB4,multidrug resistance protein 3,5244,NCBI Gene
ABCB4,P-glycoprotein-3/multiple drug resistance-3,5244,NCBI Gene
ABCB4,P-glycoprotein 3,5244,NCBI Gene
ABCB4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",5244,NCBI Gene
ABCB4,ATP-binding cassette sub-family B member 4,5244,NCBI Gene
ABCB4,phosphatidylcholine translocator ABCB4,5244,NCBI Gene
ABCB4,PGY3,5244,NCBI Gene
ABCB4,PFIC-3,5244,NCBI Gene
ABCB4,MDR3,5244,NCBI Gene
ABCB4,MDR2/3,5244,NCBI Gene
ABCB4,MDR2,5244,NCBI Gene
ABCB4,ICP3,5244,NCBI Gene
ABCB4,GBD1,5244,NCBI Gene
ABCB4,ABC21,5244,NCBI Gene
ABCB4,ATP binding cassette subfamily B member 4,5244,NCBI Gene
ABCB4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",45,HGNC
ABCB4,GBD1,45,HGNC
ABCB4,PFIC-3,45,HGNC
ABCB4,MDR2,45,HGNC
ABCB4,ATP binding cassette subfamily B member 4,45,HGNC
ABCB5,EST422562,ENSG00000004846,Ensembl
ABCB5,ABCB5beta,ENSG00000004846,Ensembl
ABCB5,ABCB5alpha,ENSG00000004846,Ensembl
ABCB5,ATP binding cassette subfamily B member 5,ENSG00000004846,Ensembl
ABCB5,P-glycoprotein ABCB5,340273,NCBI Gene
ABCB5,"ATP-binding cassette, sub-family B (MDR/TAP), member 5",340273,NCBI Gene
ABCB5,ATP-binding cassette protein,340273,NCBI Gene
ABCB5,ABCB5 P-gp,340273,NCBI Gene
ABCB5,ATP-binding cassette sub-family B member 5,340273,NCBI Gene
ABCB5,EST422562,340273,NCBI Gene
ABCB5,ABCB5beta,340273,NCBI Gene
ABCB5,ABCB5alpha,340273,NCBI Gene
ABCB5,ATP binding cassette subfamily B member 5,340273,NCBI Gene
ABCB5,"ATP-binding cassette, sub-family B (MDR/TAP), member 5",46,HGNC
ABCB5,ATP-binding cassette protein,46,HGNC
ABCB5,P-glycoprotein ABCB5,46,HGNC
ABCB5,ABCB5alpha,46,HGNC
ABCB5,ABCB5beta,46,HGNC
ABCB5,EST422562,46,HGNC
ABCB5,ATP binding cassette subfamily B member 5,46,HGNC
ABCB6,umat,ENSG00000115657,Ensembl
ABCB6,MTABC3,ENSG00000115657,Ensembl
ABCB6,EST45597,ENSG00000115657,Ensembl
ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group),ENSG00000115657,Ensembl
ABCB6,ubiquitously-expressed mammalian ABC half transporter,10058,NCBI Gene
ABCB6,mt-ABC transporter 3,10058,NCBI Gene
ABCB6,mitochondrial ABC transporter 3,10058,NCBI Gene
ABCB6,P-glycoprotein-related protein,10058,NCBI Gene
ABCB6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)",10058,NCBI Gene
ABCB6,ATP-binding cassette half-transporter,10058,NCBI Gene
ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),10058,NCBI Gene
ABCB6,ABC-type heme transporter ABCB6,10058,NCBI Gene
ABCB6,ATP-binding cassette sub-family B member 6,10058,NCBI Gene
ABCB6,umat,10058,NCBI Gene
ABCB6,PRP,10058,NCBI Gene
ABCB6,MTABC3,10058,NCBI Gene
ABCB6,LAN,10058,NCBI Gene
ABCB6,ABC,10058,NCBI Gene
ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group),10058,NCBI Gene
ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),47,HGNC
ABCB6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6",47,HGNC
ABCB6,ATP-binding cassette half-transporter,47,HGNC
ABCB6,MTABC3,47,HGNC
ABCB6,umat,47,HGNC
ABCB6,EST45597,47,HGNC
ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group),47,HGNC
ABCB7,EST140535,ENSG00000131269,Ensembl
ABCB7,Atm1p,ENSG00000131269,Ensembl
ABCB7,ASAT,ENSG00000131269,Ensembl
ABCB7,ABC7,ENSG00000131269,Ensembl
ABCB7,ATP binding cassette subfamily B member 7,ENSG00000131269,Ensembl
ABCB7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",22,NCBI Gene
ABCB7,ATP-binding cassette transporter 7,22,NCBI Gene
ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial",22,NCBI Gene
ABCB7,ABC transporter 7 protein,22,NCBI Gene
ABCB7,"iron-sulfur clusters transporter ABCB7, mitochondrial",22,NCBI Gene
ABCB7,EST140535,22,NCBI Gene
ABCB7,Atm1p,22,NCBI Gene
ABCB7,ASAT,22,NCBI Gene
ABCB7,ABC7,22,NCBI Gene
ABCB7,ATP binding cassette subfamily B member 7,22,NCBI Gene
ABCB7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",48,HGNC
ABCB7,ASAT,48,HGNC
ABCB7,Atm1p,48,HGNC
ABCB7,EST140535,48,HGNC
ABCB7,ATP binding cassette subfamily B member 7,48,HGNC
ABCC1,MRP1,ENSG00000103222,Ensembl
ABCC1,MRP,ENSG00000103222,Ensembl
ABCC1,GS-X,ENSG00000103222,Ensembl
ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),ENSG00000103222,Ensembl
ABCC1,leukotriene C(4) transporter,4363,NCBI Gene
ABCC1,glutathione-S-conjugate-translocating ATPase ABCC1,4363,NCBI Gene
ABCC1,glutathione S-conjugate export pump,4363,NCBI Gene
ABCC1,LTC4 transporter,4363,NCBI Gene
ABCC1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",4363,NCBI Gene
ABCC1,ATP-binding cassette transporter variant ABCC1delta-ex25&26,4363,NCBI Gene
ABCC1,ATP-binding cassette transporter variant ABCC1delta-ex25,4363,NCBI Gene
ABCC1,ATP-binding cassette transporter variant ABCC1delta-ex13&14,4363,NCBI Gene
ABCC1,ATP-binding cassette transporter variant ABCC1delta-ex13,4363,NCBI Gene
ABCC1,multidrug resistance-associated protein 1,4363,NCBI Gene
ABCC1,MRP1,4363,NCBI Gene
ABCC1,MRP,4363,NCBI Gene
ABCC1,GS-X,4363,NCBI Gene
ABCC1,DFNA77,4363,NCBI Gene
ABCC1,ABCC,4363,NCBI Gene
ABCC1,ABC29,4363,NCBI Gene
ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),4363,NCBI Gene
ABCC1,ATP binding cassette subfamily C member 1,51,HGNC
ABCC1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",51,HGNC
ABCC1,multidrug resistance associated protein 1,51,HGNC
ABCC1,glutathione S-conjugate export pump,51,HGNC
ABCC1,GS-X,51,HGNC
ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),51,HGNC
ABCC2,MRP2,ENSG00000023839,Ensembl
ABCC2,DJS,ENSG00000023839,Ensembl
ABCC2,cMRP,ENSG00000023839,Ensembl
ABCC2,CMOAT,ENSG00000023839,Ensembl
ABCC2,ATP binding cassette subfamily C member 2,ENSG00000023839,Ensembl
ABCC2,multidrug resistance-associated protein 2,1244,NCBI Gene
ABCC2,canalicular multispecific organic anion transporter 1,1244,NCBI Gene
ABCC2,canalicular multidrug resistance protein,1244,NCBI Gene
ABCC2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",1244,NCBI Gene
ABCC2,ATP-binding cassette sub-family C member 2,1244,NCBI Gene
ABCC2,cMRP,1244,NCBI Gene
ABCC2,MRP2,1244,NCBI Gene
ABCC2,DJS,1244,NCBI Gene
ABCC2,CMOAT,1244,NCBI Gene
ABCC2,ABC30,1244,NCBI Gene
ABCC2,ATP binding cassette subfamily C member 2,1244,NCBI Gene
ABCC2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",53,HGNC
ABCC2,canalicular multispecific organic anion transporter 1,53,HGNC
ABCC2,cMRP,53,HGNC
ABCC2,MRP2,53,HGNC
ABCC2,DJS,53,HGNC
ABCC2,ATP binding cassette subfamily C member 2,53,HGNC
ABCC3,MRP3,ENSG00000108846,Ensembl
ABCC3,MOAT-D,ENSG00000108846,Ensembl
ABCC3,MLP2,ENSG00000108846,Ensembl
ABCC3,EST90757,ENSG00000108846,Ensembl
ABCC3,cMOAT2,ENSG00000108846,Ensembl
ABCC3,ATP binding cassette subfamily C member 3,ENSG00000108846,Ensembl
ABCC3,multidrug resistance-associated protein 3,8714,NCBI Gene
ABCC3,multidrug resistance associated protein,8714,NCBI Gene
ABCC3,multi-specific organic anion transporter D,8714,NCBI Gene
ABCC3,canicular multispecific organic anion transporter,8714,NCBI Gene
ABCC3,canalicular multispecific organic anion transporter 2,8714,NCBI Gene
ABCC3,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",8714,NCBI Gene
ABCC3,ATP-binding cassette sub-family C member 3,8714,NCBI Gene
ABCC3,cMOAT2,8714,NCBI Gene
ABCC3,MRP3,8714,NCBI Gene
ABCC3,MOAT-D,8714,NCBI Gene
ABCC3,MLP2,8714,NCBI Gene
ABCC3,EST90757,8714,NCBI Gene
ABCC3,ABC31,8714,NCBI Gene
ABCC3,ATP binding cassette subfamily C member 3,8714,NCBI Gene
ABCC3,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",54,HGNC
ABCC3,canalicular multispecific organic anion transporter 2,54,HGNC
ABCC3,MOAT-D,54,HGNC
ABCC3,MLP2,54,HGNC
ABCC3,EST90757,54,HGNC
ABCC3,cMOAT2,54,HGNC
ABCC3,MRP3,54,HGNC
ABCC3,ATP binding cassette subfamily C member 3,54,HGNC
ABCC4,MRP4,ENSG00000125257,Ensembl
ABCC4,MOATB,ENSG00000125257,Ensembl
ABCC4,MOAT-B,ENSG00000125257,Ensembl
ABCC4,EST170205,ENSG00000125257,Ensembl
ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),ENSG00000125257,Ensembl
ABCC4,multidrug resistance-associated protein 4,10257,NCBI Gene
ABCC4,multi-specific organic anion transporter B,10257,NCBI Gene
ABCC4,canalicular multispecific organic anion transporter (ABC superfamily),10257,NCBI Gene
ABCC4,"bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)",10257,NCBI Gene
ABCC4,MRP/cMOAT-related ABC transporter,10257,NCBI Gene
ABCC4,ATP-binding cassette sub-family C member 4,10257,NCBI Gene
ABCC4,MRP4,10257,NCBI Gene
ABCC4,MOATB,10257,NCBI Gene
ABCC4,MOAT-B,10257,NCBI Gene
ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),10257,NCBI Gene
ABCC4,ATP binding cassette subfamily C member 4,55,HGNC
ABCC4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",55,HGNC
ABCC4,multispecific organic anion transporter B,55,HGNC
ABCC4,multidrug resistance-associated protein 4,55,HGNC
